dataset_id,species,species_original,species.new,corrected,comment,checked
alston_2021c,Cyperus_glaucophyllus,Cyperus_glaucophyllus,Cyperus_glaucophyllus,0,NA,1
alston_2021c,Cyperus_rubicundus,Cyperus_rubicundus,Cyperus_rubicundus,0,NA,1
alston_2021c,Cyphostemma,Cyphostemma,Cyphostemma,0,NA,1
alston_2021c,Cyphostemma_serpens,Cyphostemma_serpens,Cyphostemma_serpens,0,NA,1
alston_2021c,Dactyloctenium_aegypticum,Dactyloctenium_aegypticum,Dactyloctenium_aegypticum,0,NA,1
alston_2021c,Delosperma_nakurense,Delosperma_nakurense,Delosperma_nakurense,0,NA,1
alston_2021c,Digitaria_macroblephara,Digitaria_macroblephara,Digitaria_macroblephara,0,NA,1
alston_2021c,Digitaria_milanjiana,Digitaria_milanjiana,Digitaria_milanjiana,0,NA,1
alston_2021c,Digitaria_velutina,Digitaria_velutina,Digitaria_velutina,0,NA,1
alston_2021c,Digitaria_velutina_&_Digitaria_milanjiana,Digitaria_velutina_&_Digitaria_milanjiana,Digitaria_velutina_&_Digitaria_milanjiana,0,NA,1
alston_2021c,Edithcolea_grandis,Edithcolea_grandis,Edithcolea_grandis,0,NA,1
alston_2021c,Elionurus_muticus,Elionurus_muticus,Elionurus_muticus,0,NA,1
alston_2021c,Emilia_discifolia,Emilia_discifolia,Emilia_discifolia,0,NA,1
alston_2021c,Endostemon_tereticaulis,Endostemon_tereticaulis,Endostemon_tereticaulis,0,NA,1
alston_2021c,Enneapogon,Enneapogon,Enneapogon,0,NA,1
alston_2021c,Enneapogon_cenchroides,Enneapogon_cenchroides,Enneapogon_cenchroides,0,NA,1
alston_2021c,Enteropogon_macrostachyus,Enteropogon_macrostachyus,Enteropogon_macrostachyus,0,NA,1
alston_2021c,Eragrostis_cilianensis,Eragrostis_cilianensis,Eragrostis_cilianensis,0,NA,1
alston_2021c,Eragrostis_cylindriflora,Eragrostis_cylindriflora,Eragrostis_cylindriflora,0,NA,1
alston_2021c,Eragrostis_papposa,Eragrostis_papposa,Eragrostis_papposa,0,NA,1
alston_2021c,Eragrostis_racemosa,Eragrostis_racemosa,Eragrostis_racemosa,0,NA,1
alston_2021c,Eragrostis_rigidior,Eragrostis_rigidior,Eragrostis_rigidior,0,NA,1
alston_2021c,Eragrostis_superba,Eragrostis_superba,Eragrostis_superba,0,NA,1
alston_2021c,Eragrostis_tenuiflora,Eragrostis_tenuiflora,Eragrostis_tenuiflora,0,NA,1
alston_2021c,Eragrostis_tenuifolia,Eragrostis_tenuifolia,Eragrostis_tenuifolia,0,NA,1
alston_2021c,Erucastrum_arabicum,Erucastrum_arabicum,Erucastrum_arabicum,0,NA,1
