"park","plot","visit","quadrat","genus_species","occurrence"
"Kakadu","2","T1","18","Digitaria gibbosa",1
"Kakadu","2","T1","18","Drosera petiolaris",1
"Kakadu","2","T1","18","Flemingia parviflora",1
"Kakadu","2","T1","18","Flemingia sp.",1
"Kakadu","2","T1","18","Goodenia armstrongiana",5
"Kakadu","2","T1","18","Heliotropium ventricosum",1
"Kakadu","2","T1","18","Heteropogon triticeus",5
"Kakadu","2","T1","18","Sorghum intrans",5
"Kakadu","2","T1","18","Vigna lanceolata",1
"Kakadu","2","T1","20","Alloteropsis semialata",1
"Kakadu","2","T1","20","Ampelocissus acetosa",1
"Kakadu","2","T1","20","Commelina ensifolia",1
"Kakadu","2","T1","20","Digitaria gibbosa",1
"Kakadu","2","T1","20","Drosera petiolaris",1
"Kakadu","2","T1","20","Galactia tenuiflora",1
"Kakadu","2","T1","20","Goodenia armstrongiana",1
"Kakadu","2","T1","20","Gossypium cunninghamii",25
"Kakadu","2","T1","20","Heteropogon triticeus",5
"Kakadu","2","T1","20","Sorghum intrans",10
"Kakadu","2","T1","20","Tephrosia remotiflora",1
"Kakadu","2","T1","20","Vigna lanceolata",1
"Kakadu","2","T1","22","Alloteropsis semialata",5
"Kakadu","2","T1","22","Cartonema spicatum",1
"Kakadu","2","T1","22","Fimbristylis schultzii",1
"Kakadu","2","T1","22","Goodenia armstrongiana",1
"Kakadu","2","T1","22","Heteropogon triticeus",5
"Kakadu","2","T1","22","Polygala coralliformis",1
"Kakadu","2","T1","22","Sorghum intrans",30
"Kakadu","2","T1","22","Vigna lanceolata",1
"Kakadu","2","T1","24","Alloteropsis semialata",5
"Kakadu","2","T1","24","Ampelocissus acetosa",1
"Kakadu","2","T1","24","Digitaria gibbosa",1
"Kakadu","2","T1","24","Drosera petiolaris",1
"Kakadu","2","T1","24","Fimbristylis schultzii",1
"Kakadu","2","T1","24","Galactia tenuiflora",1
"Kakadu","2","T1","24","Goodenia armstrongiana",5
"Kakadu","2","T1","24","Heliotropium ventricosum",1
"Kakadu","2","T1","24","Heteropogon triticeus",5
"Kakadu","2","T1","24","Sorghum intrans",30
"Kakadu","2","T1","24","Tephrosia remotiflora",1
"Kakadu","2","T1","26","Alloteropsis semialata",5
"Kakadu","2","T1","26","Cartonema spicatum",1
"Kakadu","2","T1","26","Goodenia armstrongiana",1
"Kakadu","2","T1","26","Gossypium cunninghamii",5
