"This table was prepared by Dr Roel van Klink to provide a taxonomical backbone to the taxa reported in Muschet et al 2017."
"","codes","long_names","Taxon","Phylum","Class","Subclass","Order","Suborder","Family","Subfamily","Genus","Species"
"114725","OSTR","Ostracoda","Ostracoda","Arthropoda","Ostracoda","","","","","","",""
"115714","PALM","Palmacorixa","Palmacorixa","Arthropoda","Insecta","","Hemiptera","Heteroptera","Corixidae","Corixinae","Palmacorixa",""
"116703","PARA","Paracymus","Paracymus","Arthropoda","Insecta","","Coleoptera","Polyphaga","Hydrophilidae","Hydrophilinae","Paracymus",""
"117692","PASU","Paracymus subcupreus","Paracymus_subcupreus","Arthropoda","Insecta","","Coleoptera","Polyphaga","Hydrophilidae","Hydrophilinae","Paracymus","subcupreus"
"118681","PLEA","Paraplea","Paraplea","Arthropoda","Insecta","","Hemiptera","Heteroptera","Pleidae","","Paraplea",""
"119670","PELT","Peltodytes","Peltodytes","Arthropoda","Insecta","","Coleoptera","Adephaga","Carabidae","","Peltodytes",""
"120659","PHRY1","Phryganeidae","Phryganeidae","Arthropoda","Insecta","","Trichoptera","Integripalpia","Phryganeidae","","",""
"121648","PHGY","Physa gyrina","Physa_gyrina","Mollusca","Gastropoda","","","","Physidae","","Physa","gyrina"
"122637","PHJE","Physa jennessi","Physa_jennessi","Mollusca","Gastropoda","","","","Physidae","","Physa","jennessi"
"123626","PISI","Pisidium","Pisidium","Mollusca","Bivalvia","","Veneroida","","Sphaeriidae","","Pisidium",""
"124615","PLAC","Placobdella","Placobdella","Annelida","Clitellata","","Rhynchobdellida","","Glossiphoniidae","","Placobdella",""
"125604","HETR","Planorbella trivolvis","Planorbella_trivolvis","Mollusca","Gastropoda","","","","Planorbidae","","Planorbella","trivolvis"
"126593","PLCA","Planorbula campestris","Planorbula_campestris","Mollusca","Gastropoda","","","","Planorbidae","","Planorbula","campestris"
"127582","PODU","Poduridae","Poduridae","Arthropoda","Collembola","","Poduromorpha","","Poduridae","","Poduridae",""
"128571","POLY","Polycentropodidae","Polycentropodidae","Arthropoda","Insecta","","Trichoptera","Annulipalpia","Polycentropodidae","","",""
"129560","PREX","Promenetus exacuous","Promenetus_exacuous","Mollusca","Gastropoda","","","","Planorbidae","","Promenetus","exacuous"
"130549","PRUM","Promenetus umbilicatellus","Promenetus_umbilicatellus","Mollusca","Gastropoda","","","","Planorbidae","","Promenetus","umbilicatellus"
"131538","PSCO","Pseudosuccinea columella","Pseudosuccinea_columella","Mollusca","Gastropoda","","Basommatophora","","Lymnaeidae","","Pseudosuccinea","columella"
"132527","PSYC","Psychodidae","Psychodidae","Arthropoda","Insecta","","Diptera","Nematocera","Psychodidae","","",""
"133516","RAFU","Ranatra fusca","Ranatra_fusca","Arthropoda","Insecta","","Hemiptera","Heteroptera","Nepidae","Ranatrinae","Ranatra","fusca"
"134505","RHAN","Rhantus frontalis","Rhantus_frontalis","Arthropoda","Insecta","","Coleoptera","Adephaga","Dytiscidae","Colymbetinae","Rhantus","frontalis"
"135494","SCAP","Scapholeberis","Scapholeberis","Arthropoda","Branchiopoda","","Diplostraca","Cladocera","Daphniidae","","Scapholeberis",""
"136483","HELOL","Scirtidae","Scirtidae","Arthropoda","Insecta","","Coleoptera","Polyphaga","Scirtidae","","",""
"137472","SIGA","Sigara","Sigara","Arthropoda","Insecta","","Hemiptera","Heteroptera","Corixidae","Corixinae","Sigara",""
"138461","SIMO","Simocephalus","Simocephalus","Arthropoda","Branchiopoda","","Diplostraca","Cladocera","Daphniidae","","Simocephalus",""
"139450","SMIN","Sminthuridae","Sminthuridae","Arthropoda","Entognatha","Collembola","","","Sminthuridae","","",""
"140439","SPHA","Sphaeridiinae","Sphaeridiinae","Arthropoda","Insecta","","Coleoptera","Polyphaga","Hydrophilidae","Sphaeridiinae","Sphaeridiinae",""
"141428","LYCA","Stagnicola caperata","Stagnicola_caperata","Mollusca","Gastropoda","","","","Lymnaeidae","","Stagnicola","caperata"
"142417","LYEL","Stagnicola elodes","Stagnicola_elodes","Mollusca","Gastropoda","","","","Lymnaeidae","","Stagnicola","elodes"
"143406","LYRE","Stagnicola reflexa","Stagnicola_reflexa","Mollusca","Gastropoda","","","","Lymnaeidae","","Stagnicola","reflexa"
"144395","STAP","Staphylinidae","Staphylinidae","Arthropoda","Insecta","","Coleoptera","Polyphaga","Staphylinidae","","",""
"145384","STRA","Stratiomyidae","Stratiomyidae","Arthropoda","Insecta","","Diptera","Brachycera","Stratiomyidae","","",""
"146373","STTE","Streptocephalus texanus","Streptocephalus_texanus","Arthropoda","Branchiopoda","","Anostraca","","Streptocephalidae","","Streptocephalus","texanus"
"147362","SYMP","Sympetrum","Sympetrum","Arthropoda","Insecta","","Odonata","Epiprocta","Libellulidae","","Sympetrum",""
"148351","SYRP","Syrphidae","Syrphidae","Arthropoda","Insecta","","Diptera","Brachycera","Syrphidae","","",""
"149340","TABA","Tabanidae","Tabanidae","Arthropoda","Insecta","","Diptera","Brachycera","Tabanidae","","",""
"150329","TANY1","Tanypodinae","Tanypodinae","Arthropoda","Insecta","","Diptera","Nematocera","Chironomidae","Tanypodinae","",""
"151318","THER","Theromyzon","Theromyzon","Annelida","Clitellata","","Hirudinida","Glossiphoniiformes","Glossiphoniidae","","Theromyzon",""
"152307","TIPU","Tipulidae","Tipulidae","Arthropoda","Insecta","","Diptera","Nematocera","Tipulidae","","",""
"153296","TRIC","Trichocorixa","Trichocorixa","Arthropoda","Insecta","","Hemiptera","Heteroptera","Corixidae","Corixinae","Trichocorixa",""
"154285","TROP","Tropisternus","Tropisternus","Arthropoda","Insecta","","Coleoptera","Polyphaga","Hydrophilidae","Hydrophilinae","Tropisternus",""
"155274","VALE","Valvata lewisi morph ontariensis","Valvata_lewisi_morph_ontariensis","Mollusca","Gastropoda","","","","Valvatidae","","Valvata","lewisi"
"156263","ZYGO","Zygoptera","Zygoptera","Arthropoda","Insecta","","Odonata","Zygoptera","","","",""
