"park","plot","visit","date","comments"
"Kakadu","141","T2",2001-10-16,""
"Kakadu","141","T5",2013-10-07,""
"Kakadu","141","T3",2005-11-07,""
"Kakadu","142","T1",1995-03-05,""
"Kakadu","142","T2",1999-03-16,""
"Kakadu","142","T3",2004-03-01,""
"Kakadu","142","T4",2009-03-23,""
"Kakadu","142","T5",2014-03-03,""
"Kakadu","143","T1",1995-03-06,""
"Kakadu","143","T2",1999-03-16,""
"Kakadu","143","T3",2004-03-01,""
"Kakadu","143","T4",2009-03-21,""
"Kakadu","143","T5",2014-03-03,""
"Kakadu","144","T1",1995-03-15,""
"Kakadu","144","T2",1999-03-22,""
"Kakadu","144","T3",2004-03-02,""
"Kakadu","144","T4",2009-03-20,""
"Kakadu","144","T5",2014-03-02,""
"Kakadu","145","T1",1995-07-27,""
"Kakadu","145","T2",2001-10-16,""
"Kakadu","145","T5",2013-10-10,"Numerous Melaleucas, not tagged but all measured"
"Kakadu","145","T3",2005-11-09,""
"Kakadu","146","T1",1995-07-27,""
"Kakadu","146","T2",2000-02-23,""
"Kakadu","146","T3",2005-03-01,""
"Kakadu","146","T5",2013-04-16,""
"Kakadu","147","T1",1995-03-22,""
"Kakadu","147","T2",1999-03-23,""
"Kakadu","147","T3",2004-03-01,""
"Kakadu","147","T4",2009-03-22,""
"Kakadu","147","T5",2014-03-04,""
"Kakadu","148","T1",1995-09-07,""
"Kakadu","148","T2",2001-10-15,""
"Kakadu","148","T5",2013-10-10,"plot inundated, no assesment"
"Kakadu","148","T3",2005-11-07,""
"Kakadu","149","T1",1995-03-04,""
"Kakadu","149","T2",2000-02-18,""
"Kakadu","149","T3",2005-02-24,""
"Kakadu","149","T5",2013-04-23,""
"Kakadu","150","T1",1995-03-17,""
"Kakadu","150","T2",1999-03-23,""
"Kakadu","150","T3",2004-03-23,""
"Kakadu","150","T4",2009-03-19,""
"Kakadu","150","T5",2014-03-02,""
"Kakadu","151","T1",1995-07-27,""
"Kakadu","151","T2",2001-10-17,""
"Kakadu","151","T5",2013-10-09,""
"Kakadu","151","T3",2005-11-08,""
"Kakadu","152","T1",1995-03-13,""
"Kakadu","152","T2",2000-02-08,""
"Kakadu","152","T3",2005-02-22,""
"Kakadu","152","T5",2013-04-23,""
"Kakadu","153","T1",1995-03-19,""
"Kakadu","153","T2",1999-03-21,""
"Kakadu","153","T3",2004-02-17,""
"Kakadu","153","T4",2009-03-18,""
"Kakadu","153","T5",2014-02-28,""
"Kakadu","154","T1",1995-03-20,""
"Kakadu","154","T2",1999-03-23,""
"Kakadu","154","T3",2004-03-01,""
"Kakadu","154","T5",2014-03-02,""
"Kakadu","155","T1",1995-08-02,""
"Kakadu","155","T2",2001-10-16,""
"Kakadu","155","T5",2013-10-07,""
"Kakadu","155","T3",2005-11-07,""
"Kakadu","156","T1",1995-08-02,""
"Kakadu","156","T2",2001-10-16,""
"Kakadu","156","T5",2013-10-07,""
"Kakadu","156","T3",2005-11-08,""
"Kakadu","157","T1",1995-03-14,""
"Kakadu","157","T2",1999-03-23,""
"Kakadu","157","T3",2004-03-01,""
"Kakadu","157","T5",2013-04-16,""
"Kakadu","201","T1",1996-01-16,""
"Kakadu","201","T2",1999-03-23,""
"Kakadu","201","T3",2004-03-01,""
"Kakadu","201","T4",2009-03-22,""
"Kakadu","201","T5",2014-02-24,"no access due to mine restrictions"
"Kakadu","202","T1",1996-01-18,""
"Kakadu","202","T2",1999-03-23,""
"Kakadu","202","T3",2004-03-22,""
"Kakadu","202","T4",2009-03-22,""
"Kakadu","202","T5",2014-02-24,"no access due to mine restrictions"
"Kakadu","203","T1",1996-01-18,""
"Kakadu","203","T2",1999-03-15,""
"Kakadu","203","T3",2004-03-01,""
"Kakadu","203","T4",2009-03-23,""
"Kakadu","203","T5",2013-04-22,""
