"park","plot","visit","genus_species","tag_no","height_m","fire_scar","dbh1","dbh2","dbh3","dbh4","dbh5","dbh6","dbh7","dbh8","dbh9","is_the_tree_dead"
"Kakadu","1","T3","Timonius timon","43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Kakadu","1","T3","Sesbania formosa","44",8,NA,10.7,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T3","Pandanus spiralis","45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Kakadu","1","T3","Livistona mariae subsp. mariae","46",20,"1",25.8,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T3","Timonius timon","47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Kakadu","1","T3","Glochidion sumatranum","48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Kakadu","1","T3","Terminalia microcarpa","49",14,"1",12.2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T3","Terminalia microcarpa","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Kakadu","1","T3","Sesbania formosa","51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Kakadu","1","T3","Sesbania formosa","52",12,"1",28.9,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T3","Timonius timon","53",NA,NA,17.8,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T3","Pandanus spiralis","54",15,NA,15.9,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T3","Pandanus spiralis","55",NA,"1",16.4,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T3","Terminalia microcarpa","56",14,"2",12.6,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T3","Terminalia microcarpa","57",13,NA,8.1,12.5,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T3","Terminalia microcarpa","58",15,NA,24.1,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T3","Pandanus spiralis","59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Kakadu","1","T3","Pandanus spiralis","60",8,"1",13.7,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T3","Pandanus spiralis","61",9,"1",13.8,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T3","Pandanus spiralis","62",8,"1",13.8,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T3","Pandanus spiralis","63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Kakadu","1","T3","Pandanus spiralis","64",NA,"1",12.9,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T3","Pandanus spiralis","65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
