extracted from matthews_2016 DataS1 excel table. Piney Ck 12-site data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Year,Station,Ichthyomyzon gagei,Lampetra aepyptera,Lethenteron appendix,Campostoma spp.,Chrosomus erythrogaster,Cyprinella galactura,Erimystax dissimilis,Hybopsis amblops,Luxilus chrysocephalus,Luxilus pilsbryi,Nocomis c.f. biguttatus,Notemigonus crysoleucas,Notropis boops,Notropis greenei,Notropis nubilus,Notropis ozarcanus,Notropis percobromus,Notropis sabinae,Notropis telescopus,Pimephales notatus,Pimeplales promelas,Semotilus atromaculatus,Carpiodes carpio,Erimyon oblongus,Hypentelium nigricans,Moxostoma duquesnei,Moxostoma erythrurum,Ameiurus natalis,Noturus albater,Noturus exilis,Fundulus catenatus,Fundulus olivaceus,Gambusia affinis,Labidesthes sicculus,Ambloplites constellatus,Lepomis cyanellus,Lepomis macrochirus,Lepomis megalotis,Lepomis microlophus,Micropterus dolomieu,Microperus punctulatus,Microperus salmoides,Etheostoma blennioides,Etheostoma caeruleum,Etheostoma spectabile,Etheostoma zonale,Cottus carolinae,Cottus immaculatus
win,1983,m2,0,0,0,14,0,11,0,0,0,3,0,0,3,0,1,0,0,2,2,6,0,0,0,0,10,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,14,19,0,6,0
win,1983,m3,0,0,0,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,3,0
apr,1983,p1,1,0,0,48,2,62,0,11,15,344,0,0,2,11,41,0,5,0,0,2,1,0,0,0,0,0,0,0,1,1,15,0,0,1,0,0,0,1,0,0,0,0,0,54,3,0,2,3
apr,1983,p2,0,0,0,7,0,83,0,0,2,78,0,0,0,0,12,0,4,0,24,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,37,1,0,0,11
apr,1983,p4,0,0,0,4,0,62,0,4,16,23,2,0,1,0,34,0,4,0,98,11,1,0,0,0,0,0,0,0,1,0,7,2,0,0,0,0,0,2,0,0,0,0,0,36,2,0,1,1
apr,1983,p5,0,0,0,17,0,52,0,0,0,39,1,0,3,0,4,0,0,0,93,10,0,0,0,0,0,0,0,0,0,2,94,0,0,0,0,0,0,0,0,0,0,0,2,28,6,0,1,1
apr,1983,p6,0,0,0,11,0,42,0,0,0,2,0,0,98,0,26,0,0,0,104,50,0,1,0,0,0,0,0,0,0,4,193,29,0,0,0,0,0,9,0,0,0,0,0,60,57,1,1,0
apr,1983,p7,0,0,0,18,0,18,0,8,7,8,0,1,60,0,0,0,0,0,23,92,0,0,0,0,0,1,0,0,0,1,16,32,0,0,0,2,2,20,0,0,0,1,0,29,59,1,0,0
apr,1983,p8,0,0,0,9,0,16,0,0,3,3,0,0,30,0,11,0,0,0,28,27,0,0,0,0,0,0,0,0,0,4,9,2,0,0,0,0,0,1,4,0,0,0,0,13,34,0,0,0
apr,1983,p9,0,0,0,127,1,0,0,0,1,11,50,0,0,0,10,0,0,0,0,7,3,13,0,7,0,0,0,0,0,4,11,7,0,0,0,11,11,20,0,0,0,0,0,12,173,0,3,0
