YEAR,SQUARE,SITE_ID,SAMPLE_DATE,WATER_WIDTH,DEPTH1,DEPTH2,DEPTH3,SURF_VEL_CAT,CLARITY,SAMPLING_TIME,METHOD,ROCK_PAVEMT,BOULDER_COBBLE,PEBBLE_GRAVEL,SAND,SILT_CLAY,DOM_PART_SIZE,MACROPHYTE_COVER,LC07,LC07_NUM,EZ_DESC_07,COUNTRY,COUNTY07
1990,CDHIYE,1,14-Oct-90,0.5,10,20,10,2,1,3,1,0,60,40,0,0,-6.5,0,21s,29,True uplands (Scotland),SCO,Argyll & Bute
1990,YFJGHR,1,09-Oct-90,0.6,10,20,10,2,1,3,1,0,70,0,30,0,-6.5,100,26s,34,Lowlands (Scotland),SCO,Stirling
1990,GWRSAM,1,27-Jun-90,0.3,3,3,3,1,1,3,1,0,0,10,0,90,6.5,0,26s,34,Lowlands (Scotland),SCO,Fife
1990,IGSFRL,1,12-Oct-90,1.8,25,50,20,4,1,3,1,0,90,10,0,0,-7.75,40,18s,27,Intermediate uplands and Islands (Scotland),SCO,Argyll & Bute
1990,UBXRLL,1,10-Oct-90,1.1,10,30,10,4,1,3,1,0,80,20,0,0,-7.75,5,24s,32,True uplands (Scotland),SCO,Stirling
1990,VXSVLY,1,02-Jul-90,0.4,10,10,10,3,1,3,1,0,25,50,20,5,-5.5,0,25s,33,Lowlands (Scotland),SCO,Perth & Kinross
1990,KIZQZD,1,27-Jun-90,5,50,30,25,4,1,3,1,0,65,20,10,5,-7.75,0,27s,35,Lowlands (Scotland),SCO,Perth & Kinross
1990,CKLUFF,1,26-Jun-90,0.6,2,8,8,1,1,3,1,0,0,0,0,100,6.5,70,26s,34,Lowlands (Scotland),SCO,Fife
1990,RJYDPB,1,13-Jul-90,1.8,10,10,5,1,1,3,1,0,0,90,0,10,-2,0,13s,26,Lowlands (Scotland),SCO,Argyll & Bute
1990,NHOCBB,1,01-Sep-90,0.5,10,10,10,2,1,3,1,10,30,60,10,0,-4.5,0,24s,32,True uplands (Scotland),SCO,Argyll & Bute
1990,GNSZNY,1,02-Sep-90,0.7,20,20,20,4,1,3,1,0,5,50,0,45,-4.5,0,24s,32,True uplands (Scotland),SCO,Argyll & Bute
1990,FKKANQ,1,04-Sep-90,5,50,20,20,4,1,3,1,0,80,15,5,0,-7.75,0,21s,29,True uplands (Scotland),SCO,Stirling
1990,PTHHYT,1,05-Jul-90,1,20,20,15,2,1,3,1,0,25,25,50,0,2,0,25s,33,Lowlands (Scotland),SCO,Perth & Kinross
1990,CNXIPS,1,20-Jun-90,1.5,20,18,20,2,1,3,1,0,5,0,0,95,6.5,0,26s,34,Lowlands (Scotland),SCO,Perth & Kinross
1990,SXFQWQ,1,28-Jun-90,1.5,1,1,2,3,1,3,1,0,0,90,5,5,-3.25,0,26s,34,Lowlands (Scotland),SCO,Fife
1990,OVOHHS,1,30-Aug-90,1.5,65,80,75,1,1,3,1,0,0,0,0,100,9.5,0,13s,26,Lowlands (Scotland),SCO,Argyll & Bute
1990,NAMISZ,1,11-Jul-90,0.3,5,5,3,2,1,3,1,0,20,60,15,5,-3.25,0,29s,37,Intermediate uplands and Islands (Scotland),SCO,Argyll & Bute
