YEAR,SQUARE  ,SITE_ID,SAMPLE_DATE,WATER_WIDTH,DEPTH1,DEPTH2,DEPTH3,SURF_VEL_CAT,SAMPLING_TIME,METHOD,ROCK_PAVEMT,BOULDER_COBBLE,PEBBLE_GRAVEL,SAND,SILT_CLAY,LC07,LC07_NUM,EZ_DESC_07,COUNTRY,COUNTY07
2007,RJYDPB,1,24-Jul-07,1.1,19,18,11,2,4,1,0,5,80,0,15,13s,26,Lowlands (Scotland),SCO,Argyll & Bute
2007,NHOCBB,1,29-Aug-07,1.15,5,10,7,3,,1,50,85,15,0,0,24s,32,True uplands (Scotland),SCO,Argyll & Bute
2007,GNSZNY,1,13-Jul-07,0.8,3,5,5,3,4,1,0,30,67,2,1,24s,32,True uplands (Scotland),SCO,Argyll & Bute
2007,FKKANQ,1,17-Sep-07,11,40,20,10,4,,1,0,95,5,0,0,21s,29,True uplands (Scotland),SCO,Stirling
2007,PTHHYT,1,15-Jul-07,0.9,10,10,7,4,4,1,0,40,58,1,1,25s,33,Lowlands (Scotland),SCO,Perth & Kinross
2007,CNXIPS,1,30-May-07,1.7,20,20,20,1,4,16,0,0,0,0,100,26s,34,Lowlands (Scotland),SCO,Perth & Kinross
2007,SXFQWQ,1,05-Jul-07,2.25,9,8,9,4,,1,0,5,70,15,10,26s,34,Lowlands (Scotland),SCO,Fife
2007,OVOHHS,1,22-Aug-07,2,45,50,50,1,,16,0,0,0,0,100,13s,26,Lowlands (Scotland),SCO,Argyll & Bute
2007,NAMISZ,1,31-Jul-07,0.35,3,3,3,1,4,1,5,2,58,1,39,29s,37,Intermediate uplands and Islands (Scotland),SCO,Argyll & Bute
2007,MWWCVA,1,24-Jul-07,1,5,7,5,2,4,1,0,60,39,1,0,18s,27,Intermediate uplands and Islands (Scotland),SCO,Argyll & Bute
2007,BLRZDJ,1,26-Jul-07,1.5,4,6,9,2,4,1,15,60,40,0,0,25s,33,Lowlands (Scotland),SCO,Argyll & Bute
2007,STXVMF,1,27-Aug-07,1,23,23,20,2,,1,0,10,75,10,5,29s,37,Intermediate uplands and Islands (Scotland),SCO,Argyll & Bute
2007,UFFUSX,1,16-Jul-07,1,25,27,23,3,4,1,0,65,30,5,0,24s,32,True uplands (Scotland),SCO,Argyll & Bute
2007,XHAIJL,1,06-Nov-07,9,33,27,13,3,,1,0,95,5,0,0,24s,32,True uplands (Scotland),SCO,Perth & Kinross
2007,SUGYHV,1,26-Jun-07,0.5,40,50,45,2,4,16,0,10,1,0,89,23s,31,True uplands (Scotland),SCO,Perth & Kinross
2007,JDUTQQ,1,28-May-07,1.4,10,5,5,1,4,16,0,0,0,0,100,27s,35,Lowlands (Scotland),SCO,Perth & Kinross
2007,TDZOHS,1,10-Sep-07,0.65,5,4,2,2,4,1,0,5,85,10,0,27s,35,Lowlands (Scotland),SCO,Angus
