"visit_code","date","year","survey_year","survey_season","site","trapping_night","date_of_last_fire","x_elliotts_open","x_cages_open","comments"
"161-7-84-3",2016-12-13,2016,"161","1617","site_7-84","3",2003-12-22,10,6,"Nil Captures"
"161-8-17-1",2016-12-11,2016,"161","1617","site_8-17","1",1994-08-01,10,6,""
"161-8-17-2",2016-12-12,2016,"161","1617","site_8-17","2",1994-08-01,10,6,""
"161-8-17-3",2016-12-13,2016,"161","1617","site_8-17","3",1994-08-01,10,6,""
"161-8-2-1",2016-12-11,2016,"161","1617","site_8-2","1",2001-10-19,10,6,""
"161-8-2-2",2016-12-12,2016,"161","1617","site_8-2","2",2001-10-19,10,6,""
"161-8-2-3",2016-12-13,2016,"161","1617","site_8-2","3",2001-10-19,10,6,"Nil Captures"
"161-8-3-1",2016-12-11,2016,"161","1617","site_8-3","1",2003-12-22,10,6,""
"161-8-3-2",2016-12-12,2016,"161","1617","site_8-3","2",2003-12-22,10,6,""
"161-8-3-3",2016-12-13,2016,"161","1617","site_8-3","3",2003-12-22,10,6,""
"161-8-41-1",2016-12-08,2016,"161","1617","site_8-41","1",2003-12-22,10,6,""
"161-8-41-2",2016-12-09,2016,"161","1617","site_8-41","2",2003-12-22,10,6,""
"161-8-41-3",2016-12-10,2016,"161","1617","site_8-41","3",2003-12-22,10,6,""
"161-9-1-1",2016-12-11,2016,"161","1617","site_9-1","1",2007-10-29,10,6,""
"161-9-1-2",2016-12-12,2016,"161","1617","site_9-1","2",2007-10-29,10,6,"Nil Captures"
"161-9-1-3",2016-12-13,2016,"161","1617","site_9-1","3",2007-10-29,10,6,"Nil Captures"
"161-9-3-1",2016-12-12,2016,"161","1617","site_9-3","1",NA,10,6,"Nil Captures"
"161-9-3-2",2016-12-13,2016,"161","1617","site_9-3","2",NA,10,6,"Nil Captures"
"161-9-3-3",2016-12-14,2016,"161","1617","site_9-3","3",NA,10,6,"Nil Captures"
"161-9-7-1",2016-12-09,2016,"161","1617","site_9-7","1",1986-10-09,10,6,"Nil Captures"
"161-9-7-2",2016-12-10,2016,"161","1617","site_9-7","2",1986-10-09,10,6,""
"161-9-7-3",2016-12-11,2016,"161","1617","site_9-7","3",1986-10-09,10,6,""
"161-9-8-1",2016-12-08,2016,"161","1617","site_9-8","1",NA,10,6,"Nil captures"
"161-9-8-2",2016-12-09,2016,"161","1617","site_9-8","2",NA,10,6,"Nil captures"
"161-9-8-3",2016-12-10,2016,"161","1617","site_9-8","3",NA,10,6,"Nil captures"
"171-10-32-1",2017-12-07,2017,"171","1718","site_10-32","1",2017-09-14,10,6,""
"171-10-32-2",2017-12-08,2017,"171","1718","site_10-32","2",2017-09-14,10,6,""
"171-10-32-3",2017-12-09,2017,"171","1718","site_10-32","3",2017-09-14,10,6,""
"171-10-38-1",2017-12-09,2017,"171","1718","site_10-38","1",2003-12-22,10,6,""
"171-10-38-2",2017-12-10,2017,"171","1718","site_10-38","2",2003-12-22,10,6,""
"171-10-38-3",2017-12-11,2017,"171","1718","site_10-38","3",2003-12-22,10,6,""
"171-10-6-1",2017-12-10,2017,"171","1718","site_10-6","1",2002-11-24,10,6,"."
"171-10-6-2",2017-12-11,2017,"171","1718","site_10-6","2",2002-11-24,10,6,"Nil Captures"
"171-10-6-3",2017-12-12,2017,"171","1718","site_10-6","3",2002-11-24,10,6,""
"171-10-7-1",2017-12-07,2017,"171","1718","site_10-7","1",2003-12-22,10,6,""
"171-10-7-2",2017-12-08,2017,"171","1718","site_10-7","2",2003-12-22,10,6,""
"171-10-7-3",2017-12-09,2017,"171","1718","site_10-7","3",2003-12-22,10,6,""
"171-11-17-1",2017-12-07,2017,"171","1718","site_11-17","1",2002-01-02,10,6,""
"171-11-17-2",2017-12-08,2017,"171","1718","site_11-17","2",2002-01-02,10,6,"Nil Captures"
"171-11-17-3",2017-12-09,2017,"171","1718","site_11-17","3",2002-01-02,10,6,""
"171-11-7-1",2017-12-07,2017,"171","1718","site_11-7","1",1994-08-01,10,6,""
"171-11-7-2",2017-12-08,2017,"171","1718","site_11-7","2",1994-08-01,10,6,""
"171-11-7-3",2017-12-09,2017,"171","1718","site_11-7","3",1994-08-01,10,6,""
"171-12-29-1",2017-12-07,2017,"171","1718","site_12-29","1",2017-09-14,10,6,"Nil Captures"
"171-12-29-2",2017-12-08,2017,"171","1718","site_12-29","2",2017-09-14,10,6,"Nil Captures"
"171-12-29-3",2017-12-09,2017,"171","1718","site_12-29","3",2017-09-14,10,6,""
"171-12-54-1",2017-12-09,2017,"171","1718","site_12-54","1",2003-12-22,10,6,""
"171-12-54-2",2017-12-10,2017,"171","1718","site_12-54","2",2003-12-22,10,6,""
"171-12-54-3",2017-12-11,2017,"171","1718","site_12-54","3",2003-12-22,10,6,""
"171-1-31-1",2017-12-06,2017,"171","1718","site_1-31","1",2017-09-14,10,6,"Nil Captures"
"171-1-31-2",2017-12-07,2017,"171","1718","site_1-31","2",2017-09-14,10,6,"Nil Captures"
"171-1-31-3",2017-12-08,2017,"171","1718","site_1-31","3",2017-09-14,10,6,"Nil Captures"
"171-1-32-1",2017-12-07,2017,"171","1718","site_1-32","1",2017-09-14,10,6,""
"171-1-32-2",2017-12-08,2017,"171","1718","site_1-32","2",2017-09-14,10,6,""
"171-1-32-3",2017-12-09,2017,"171","1718","site_1-32","3",2017-09-14,10,6,""
"171-1-36-1",2017-12-06,2017,"171","1718","site_1-36","1",2017-09-14,10,6,"Nil Captures"
"171-1-36-2",2017-12-07,2017,"171","1718","site_1-36","2",2017-09-14,10,6,""
"171-1-36-3",2017-12-08,2017,"171","1718","site_1-36","3",2017-09-14,10,6,""
"171-1-37-1",2017-12-06,2017,"171","1718","site_1-37","1",2007-10-29,10,6,""
"171-1-37-2",2017-12-07,2017,"171","1718","site_1-37","2",2007-10-29,10,6,""
"171-1-37-3",2017-12-08,2017,"171","1718","site_1-37","3",2007-10-29,10,6,""
"171-1-38-1",2017-12-09,2017,"171","1718","site_1-38","1",1976-07-01,10,6,""
"171-1-38-2",2017-12-10,2017,"171","1718","site_1-38","2",1976-07-01,10,6,""
"171-1-38-3",2017-12-11,2017,"171","1718","site_1-38","3",1976-07-01,10,6,""
"171-1-4-1",2017-12-09,2017,"171","1718","site_1-4","1",1996-06-01,10,6,""
"171-1-4-2",2017-12-10,2017,"171","1718","site_1-4","2",1996-06-01,10,6,""
"171-1-4-3",2017-12-11,2017,"171","1718","site_1-4","3",1996-06-01,10,6,""
"171-1-46-1",2017-12-09,2017,"171","1718","site_1-46","1",2003-12-22,10,6,"Nil Captures"
"171-1-46-2",2017-12-10,2017,"171","1718","site_1-46","2",2003-12-22,10,6,""
"171-1-46-3",2017-12-11,2017,"171","1718","site_1-46","3",2003-12-22,10,6,""
"171-1-47-1",2017-12-10,2017,"171","1718","site_1-47","1",2007-10-24,10,6,"Nil Captures"
"171-1-47-2",2017-12-11,2017,"171","1718","site_1-47","2",2007-10-24,10,6,"Nil Captures"
"171-1-47-3",2017-12-12,2017,"171","1718","site_1-47","3",2007-10-24,10,6,"Nil Captures"
"171-1-48-1",2017-12-10,2017,"171","1718","site_1-48","1",2007-10-24,10,6,""
"171-1-48-2",2017-12-11,2017,"171","1718","site_1-48","2",2007-10-24,10,6,""
"171-1-48-3",2017-12-12,2017,"171","1718","site_1-48","3",2007-10-24,10,6,""
"171-1-49-1",2017-12-10,2017,"171","1718","site_1-49","1",2009-03-24,10,6,""
"171-1-49-2",2017-12-11,2017,"171","1718","site_1-49","2",2009-03-24,10,6,""
"171-1-49-3",2017-12-12,2017,"171","1718","site_1-49","3",2009-03-24,10,6,""
"171-1-50-1",2017-12-10,2017,"171","1718","site_1-50","1",2009-03-24,10,6,""
"171-1-50-2",2017-12-11,2017,"171","1718","site_1-50","2",2009-03-24,10,6,""
"171-1-50-3",2017-12-12,2017,"171","1718","site_1-50","3",2009-03-24,10,6,""
"171-1-51-1",2017-12-10,2017,"171","1718","site_1-51","1",2001-03-01,10,6,"Nil Captures"
"171-1-51-2",2017-12-11,2017,"171","1718","site_1-51","2",2001-03-01,10,6,"Nil Captures"
"171-1-51-3",2017-12-12,2017,"171","1718","site_1-51","3",2001-03-01,10,6,"Nil Captures"
"171-1-52-1",2017-12-06,2017,"171","1718","site_1-52","1",2007-10-29,10,6,""
"171-1-52-2",2017-12-07,2017,"171","1718","site_1-52","2",2007-10-29,10,6,""
"171-1-52-3",2017-12-08,2017,"171","1718","site_1-52","3",2007-10-29,10,6,""
"171-1-53-1",2017-12-06,2017,"171","1718","site_1-53","1",2007-10-29,10,6,""
"171-1-53-2",2017-12-07,2017,"171","1718","site_1-53","2",2007-10-29,10,6,"Nil Captures"
