Date	Site	Exposure	Transect #	Tidal Height	Acrosiphonia spp	Ahnfeltia pacifica	Alaria marginata	Analipus japonicus	Chondracanthus exasperatus	Cladophora spp	Codium fragile	Copamania spp	Corallina vancouveriensis	Egregia menziesii	Encrusting coralline algae	Endocladia muricata	Enteromorpha intestinalis	Filamentous rhodophyta	Fucus spp	Gastroclonium coulteri	Halosaccion glandiforme	Hedophyllum sessile	Laminaria setchelli	Leathesia difformis	Mastocarpus papillatus	Mazzaella splendens	Microcladia borealis	Microcladia coulteri	Nemalion spp	Neorhodomela larix	Odonthalia floccosa	Pelvitiopsis spp	Petrocelis middendorfii	Phyllospadix scouleri	Porphyra spp	Prasiola spp	Prionitis spp	Sargassum muticum	Scytosiphon lomentaria	Ulva spp	Bare rock
"2-Aug-97"	"Wizard"	"Exposed"	"4"	2	0	0	0	0	0	15	0	0	0.5	0	5	0	0	0	31	0	5	0	0	0	5	0	0	0	0	0	0	0	30	0	0	0	0	0	0	15	0
"2-Aug-97"	"Wizard"	"Exposed"	"4"	2.5	0	0	0	0	0	10	0	0	0	0	5	0	0	15	56	0	0	0	0	0	0.5	0	0	0	0	0	0	0	30	0	0	0	0	0	0	10	0
"2-Aug-97"	"Wizard"	"Exposed"	"4"	3	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"4"	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"5"	0.5	0	0	0	0	0.5	0	0	0	5	56	45	0	0	5	0	0	0	0	0	0	0.5	35	0	5	0	0	0	0	0	0	0	0	55	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"5"	1	0	0	0	0	0	0	0	0	5	0	0	0	0	25	30	0	0.5	0	0	0	10	0	0	0.5	0	0	0	0	0	0	0	0	15	0	0	15	0
"2-Aug-97"	"Wizard"	"Exposed"	"5"	1.5	0	0	0	0	0	0.5	0	0	10	0	5	0	0	35	1	0	0.5	0	0	0	15	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0.5	0
"2-Aug-97"	"Wizard"	"Exposed"	"5"	2	0	0	0	0	0	5	0	0	0.5	0	10	0	0	0	38	0	5	0	0	0	10	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"5"	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	45	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"5"	3	0	0	0	0	0	0	0	0	0	0	5	0	0	0	33	0	0	0	0	0	5	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
